listing_id,product_id,platform,marketplace_listing_id,created_at,listing_url,listing_status,views,favorites,orders,conversion_rate,revenue,last_checked_at,primary_thumbnail_style,thumbnail_version,thumbnail_test_notes,clickthrough_observations,notes
etsy-import-1,3,etsy,,2026-05-16T05:19:41,,uploaded,0,0,0,0.0,11.18,2026-05-16T05:19:41,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-1,3,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,11.18,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-2,4,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,3.84,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-3,5,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,15.65,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-4,6,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,15.47,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-5,7,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,24.29,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-6,8,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,16.00,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-7,9,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,17.06,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-8,10,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,15.65,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-9,11,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,9.67,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-10,12,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,18.90,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-11,13,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,21.53,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-12,14,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,18.33,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-13,15,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,3.55,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-14,16,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,4.99,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-15,17,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,2.72,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-16,18,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,19.99,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-17,19,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,17.34,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-18,20,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,25.47,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-19,21,etsy,,2026-05-16T05:21:09,,uploaded,0,0,0,0.0,24.00,2026-05-16T05:21:09,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-1,3,etsy,,2026-05-16T05:21:22,,uploaded,0,0,0,0.0,11.18,2026-05-16T05:21:22,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-2,4,etsy,,2026-05-16T05:21:22,,uploaded,0,0,0,0.0,3.84,2026-05-16T05:21:22,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-3,5,etsy,,2026-05-16T05:21:22,,uploaded,0,0,0,0.0,15.65,2026-05-16T05:21:22,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-4,6,etsy,,2026-05-16T05:21:22,,uploaded,0,0,0,0.0,15.47,2026-05-16T05:21:22,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-5,7,etsy,,2026-05-16T05:21:22,,uploaded,0,0,0,0.0,24.29,2026-05-16T05:21:22,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-6,8,etsy,,2026-05-16T05:21:22,,uploaded,0,0,0,0.0,16.00,2026-05-16T05:21:22,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-7,9,etsy,,2026-05-16T05:21:22,,uploaded,0,0,0,0.0,17.06,2026-05-16T05:21:22,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-8,10,etsy,,2026-05-16T05:21:22,,uploaded,0,0,0,0.0,15.65,2026-05-16T05:21:22,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-9,11,etsy,,2026-05-16T05:21:22,,uploaded,0,0,0,0.0,9.67,2026-05-16T05:21:22,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-10,12,etsy,,2026-05-16T05:21:22,,uploaded,0,0,0,0.0,18.90,2026-05-16T05:21:22,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-11,13,etsy,,2026-05-16T05:21:22,,uploaded,0,0,0,0.0,21.53,2026-05-16T05:21:22,,imported,Imported from Etsy export,,Imported from Etsy export
etsy-import-12,14,etsy,,2026-05-16T05:21:22,,uploaded,0,0,0,0.0,18.33,2026-05-16T05:21:22,,imported,Imported from Etsy export,,Imported from Etsy export
