id,type,status,priority,created_at,started_at,completed_at,payload,result,error,assigned_agent,retry_count,max_retries,last_retry_at
0279f954-f94d-410f-8905-a9f0d96d04f5,analytics_refresh,queued,low,2026-05-16T01:16:05,,,"{""source"": ""verification""}",,,founder_agent,0,3,
f4340dc6-5db7-4154-870d-1625670311e9,niche_research,completed,normal,2026-05-16T01:16:05,2026-05-16T01:16:05,2026-05-16T01:16:05,"{""keywords"": [""retro anxiety"", ""nurse humor""]}","{""report_count"": 2, ""top_keyword"": ""retro anxiety""}",,founder_agent,0,3,
e2c58580-a1b6-4b90-9516-37d9e672b72b,generate_designs,completed,high,2026-05-16T01:16:05,2026-05-16T01:16:05,2026-05-16T01:16:05,"{""amount"": 2, ""niche"": ""retro nurse""}","{""dry_run"": true, ""message"": ""Simulated task. No paid APIs, uploads, or generation were run."", ""payload"": {""amount"": 2, ""niche"": ""retro nurse""}, ""task_type"": ""generate_designs""}",,founder_agent,0,3,
d477bcd5-32da-47ff-8792-2875d5869a4f,generate_designs,cancelled,critical,2026-05-16T01:16:05,,2026-05-16T01:16:25,"{""amount"": 1}",,,founder_agent,0,3,
4930bdb5-f0fd-4bae-8852-52a1b88bcf5d,generate_designs,completed,normal,2026-05-16T01:16:05,2026-05-16T01:38:32,2026-05-16T01:38:32,"{""amount"": 1, ""niche"": ""teacher humor""}","{""dry_run"": true, ""message"": ""Simulated task. No paid APIs, uploads, or generation were run."", ""payload"": {""amount"": 1, ""niche"": ""teacher humor""}, ""task_type"": ""generate_designs""}",,founder_agent,0,3,
c91aed21-deca-4d29-840d-b500d0623428,generate_designs,completed,critical,2026-05-16T01:16:33,2026-05-16T01:16:33,2026-05-16T01:16:33,"{""amount"": 1}","{""dry_run"": true, ""message"": ""Simulated task. No paid APIs, uploads, or generation were run."", ""payload"": {""amount"": 1, ""niche"": """"}, ""task_type"": ""generate_designs""}",,founder_agent,0,3,
3c1a0838-15c4-4953-87f3-2f1b81da28bf,niche_research,cancelled,normal,2026-05-16T01:28:49,,2026-05-16T01:29:00,"{""keywords"": [""dry run niche""]}",,,founder_agent,0,3,
39d5a8d1-1fa7-44a9-9a09-fa1926287e22,generate_designs,cancelled,normal,2026-05-16T01:28:49,,2026-05-16T01:29:00,"{""amount"": 1, ""niche"": ""dry run niche""}",,,founder_agent,0,3,
11eec9a7-6e92-46dc-8f85-2ba0774e19ec,create_mockups,completed,high,2026-05-16T01:28:49,2026-05-16T01:28:49,2026-05-16T01:28:49,"{""product_id"": ""1""}","{""dry_run"": true, ""message"": ""Simulated task. No paid APIs, uploads, or generation were run."", ""payload"": {""filename"": """", ""product_id"": ""1""}, ""task_type"": ""create_mockups""}",,founder_agent,0,3,
e86c62ca-3f36-444c-9a0a-c64757f488c9,generate_listing,cancelled,normal,2026-05-16T01:28:49,,2026-05-16T01:29:00,"{""product_id"": ""1""}",,,founder_agent,0,3,
